Nom_du_POI;LAT;LONG;Adresse_postale;Code_postal;Commune
Circuit du Steinberg;49,10918387;6,70843359;Base VTT du Felsberg;57500;Saint-Avold
Steinberg - Jeanne d'Arc;49,10918387;6,70843359;Base VTT du Felsberg;57500;Saint-Avold
Massif du Fossard et sites d'exception;48,02420699;6,61237848;Rue de l'Eglise Parking de l'Eglise;88200;Saint-Étienne-lès-Remiremont
Boucle de la Raverte;49,22664769;6,21823578;Place Robert Schuman;57365;Ennery
Balade : la cascade du rudlin;48,17267500;7,01481700;17 rue de Gérardmer;88230;Plainfaing
Circuit de la Mutche;48,94882548;6,63504121;Etang de la Mutche;57340;Harprich
Les pistes cyclables du pays de Bitche : walschbronn - Bitche - Saint-Louis-les-Bitche 50 km;48,99060846;7,36500200;2 avenue du Général de Gaulle;57230;Bitche
Du haut des remparts;43,70866650;-1,05388450;Place Roger Ducos;40100;Dax
Buricleta : le grand tour d'Irati;43,01300500;-1,07423000;Iraty;64560;Larrau
Petrilare (Forêt d'Iraty);43,03639500;-1,03531200;Iraty;64560;Larrau
"Circuit découverte ""Entre nature et patrimoine""";43,77478900;6,24305300;1 Place de la Mairie Circuit affiché sur la façade de la Mairie;83630;Aiguines
Les vignes;46,56213900;2,20197030;église;18370;Châteaumeillant
Boucle des Pèlerins - Saint Avit Sénieur;44,77447250;0,81580608;le bourg;24440;Saint-Avit-Sénieur
Boucle des Pèlerins - Saint Avit Sénieur;44,77447250;0,81580608;le bourg;24440;Saint-Avit-Sénieur
Boucle de Pont Roudier - Saint Avit Sénieur;44,77448010;0,81589459;le bourg;24440;Saint-Avit-Sénieur
Boucle de Pont Roudier - Saint Avit Sénieur;44,77448010;0,81589459;le bourg;24440;Saint-Avit-Sénieur
Boucle d'Avitus - Saint Avit Sénieur;44,77447250;0,81580608;le bourg;24440;Saint-Avit-Sénieur
La Chalaronne au fil de l'eau N°6;46,00035500;5,02391400;Stage de rugby;1330;Villars-les-Dombes
Circuit VAE : La vallée du Doux;45,06752100;4,78834300;Gare du train de l'Ardèche;7300;Saint-Jean-de-Muzols
VTT N°4 - Crêtes d'Issarbe;43,01825590;-0,79618860;Parking de la Station d'Issarbe;64570;Lanne-en-Barétous
N°33 Lac du Montagnon par le Col d'Iseye;42,97468200;-0,59905500;Terminus de la route Aulet;64490;Accous
N°24 Trail de Bergout;42,98519330;-0,59517330;Place du hameau de Jouers;64490;Bedous
Domaine équestre Les Pialoux;44,84986800;5,03404800;120 route des pialoux;26120;Montvendre
Autour du Domaine de Pontécoulant;48,89733340;-0,58944580;Château de Pontécoulant;14110;Pontécoulant
Sur les traces des pèlerins du Mont-Saint-Michel;48,89717350;-0,58973460;Château de Pontécoulant;14110;Pontécoulant
Circuit de la Roche d'Oëtre;48,87074810;-0,41121600;11 rue du stade René Vallée;14690;Pont-d'Ouilly
Au Fil de la Druance;48,92010010;-0,58968310;SAINT-PIERRE-LA-VIEILLE La Quartée;14770;Condé-en-Normandie
Itinéraire Culturel - A la découverte du patrimoine de Montgenèvre;44,93032600;6,72217300;Office de Tourisme Espace Prarial 320 Route d'Italie;5100;Montgenèvre
Boucle de Randonnée Nordique N°1;45,25095400;0,78136200;Le Bourg Mairie de Trelissac;24750;Trélissac
Boucle de Randonnée Nordique N°1;45,25095400;0,78136200;Le Bourg Mairie de Trelissac;24750;Trélissac
Boucle de Randonnée Nordique N°1;45,25095400;0,78136200;Le Bourg Mairie de Trelissac;24750;Trélissac
Boucle des ponts;45,49306200;1,06043500;Place du Château;24630;Jumilhac-le-Grand
N°4 Turon d'Aurey;43,05967100;-0,61899650;Quartier Bosdapous;64490;Sarrance
Circuit confort : Sisteron à travers son histoire et ses paysages;44,19480200;5,94295800;Place de la République;4200;Sisteron
"Circuit-découverte dans Trévoux ""Trévoux Capitale de Dombes""";45,94031200;4,77213800;Centre historique de Trévoux;1600;Trévoux
Centre équestre le Poney Rouge;44,07412800;5,22625700;321 Chemin Fond Quartier Bellecombe;84570;Villes-sur-Auzon
Le Sentier de la Forêt de Feuilly;45,71436400;4,93126800;Parc Technologique de Saint Priest;69800;Saint-Priest
Circuit découverte de Cailloux de la Mairie;45,85240300;4,87213600;Place du 8 Mai;69270;Cailloux-sur-Fontaines
Les trois chapelles;43,46511590;-0,61602800;Parking de l'église;64370;Arthez-de-Béarn
Sentier pédagogique - Entre ruisseau et forêt;45,82883300;4,36748300;Fontbonne;42780;Violay
Balade autour du moulin de Vignal;45,36405500;4,00265600;Départ Parking Moulin de Vignal Lieu-dit Vignal;42550;Apinac
Base nautique Puget-Plage;43,43807800;6,68229500;Chemin de la Plaine;83480;Puget-sur-Argens
Le sentier de Sacuny;45,68859100;4,78274500;Chemin des Oliviers;69230;Saint-Genis-Laval
Randoland®;45,98895100;4,71729600;96 rue de la sous-préfecture;69400;Villefranche-sur-Saône
Randoland®;45,98895100;4,71729600;96 rue de la sous-préfecture;69400;Villefranche-sur-Saône
Sentier des Tannes et Glacières du Margériaz;45,63978800;6,06672800;Place à Baban;73340;Aillon-le-Jeune
Circuit confort : Serres au fil du Buëch;44,42965300;5,71803700;Place du Lac;5700;Serres
Séjour Coaching Nature : location et excursion Vélo/ VTT;44,39425600;1,79058600;Mas de Coutal;46260;Limogne-en-Quercy
Au pays de Berlioz;45,38742600;5,26425500;Avenue Charles De Gaulle;38260;La Côte-Saint-André
Parcours des biefs;45,54493800;3,25140000;2 Rue Eugène Gauttier Mairie d'Issoire;63500;Issoire
Les Fours à Pain;49,12709080;0,76118946;Place de l'église;27170;Goupil-Othon
Que lit-on dans le lit de l'Iton ?;48,84054280;1,00554943;Château E. de Chambray;27240;Mesnils-sur-Iton
Sur les pas des maîtres faïenciers;46,24572800;5,35130800;Le village;1370;Meillonnas
Circuit Route du Bugey : Pays du Cerdon/Vallée de l'Ain;46,08637000;5,40719700;10 place Xavier Bichat;1450;Poncin
Sentier pédestre des Aiguilles de Chamonix;45,93294200;6,91703600;Gare de départ du Montenvers Mer de Glace;74400;Chamonix-Mont-Blanc
Les Conches, la sainte colline du Revermont;46,20903900;5,34378100;Notre Dame des Conches;1250;Drom
Circuit découverte des fabriques de draps de laine;43,96736100;6,50843700;Place Marcel Pastorelli;4170;Saint-André-les-Alpes
Itinérance au Pays du Roquefort;43,97670000;2,98972917;Avenue de Lauras;12250;Roquefort-sur-Soulzon
Boucle du Bois de Sinzellas;45,29366450;0,47804437;le Bourg;24350;Grand-Brassac
Boucle du Bois de Sinzellas;45,29366450;0,47804437;le Bourg;24350;Grand-Brassac
Boucle du Bois de Ligorce;45,29366450;0,47804437;le Bourg;24350;Grand-Brassac
Boucle du Bois de Ligorce;45,29366450;0,47804437;le Bourg;24350;Grand-Brassac
Boucle des Floralies Saint-Jean-de-Cole Plus Beaux villages de France;45,41993000;0,84145000;Parking du panneau d'Appel;24800;Saint-Jean-de-Côle
Boucle des Floralies Saint-Jean-de-Cole Plus Beaux villages de France;45,41993000;0,84145000;Parking du panneau d'Appel;24800;Saint-Jean-de-Côle
Boucle de la pierre Plus Beaux Villages de France;44,77674250;1,00759140;Esplanade de la Brèche;24170;Pays de Belvès
Boucle de la pierre Plus Beaux Villages de France;44,77674250;1,00759140;Esplanade de la Brèche;24170;Pays de Belvès
Sentier des meulières;45,43194700;0,61243600;Bureau d'accueil de Mareuil;24310;Brantôme en Périgord
Sentier des meulières;45,43194700;0,61243600;Bureau d'accueil de Mareuil;24310;Brantôme en Périgord
Boucle des lavoirs à Besse;44,66869350;1,10551456;Office de Tourisme Rue Notre Dame;24550;Villefranche-du-Périgord
Boucle des lavoirs à Besse;44,66869350;1,10551456;Office de Tourisme Rue Notre Dame;24550;Villefranche-du-Périgord
Sur les pas de Léa la petite Bessoise;44,66869350;1,10551456;Office de Tourisme Rue Notre Dame;24550;Villefranche-du-Périgord
Boucle de l'écluse à St Laurent des Hommes;45,03724790;0,25069840;le bourg;24400;Saint-Laurent-des-Hommes
Boucle de l'écluse à St Laurent des Hommes;45,03724790;0,25069840;le bourg;24400;Saint-Laurent-des-Hommes
École de ski - Glisses Nordiques;46,60325710;6,11264930;30 route des pâturages;25240;Chapelle-des-Bois
Circuit des deux vallées par le col Saint-Léon;48,69572230;7,02491730;Piste cyclable des 2 Sarres;57790;Hermelange
Circuit des deux vallées par Vasperviller;48,69572230;7,02491730;Piste cyclable des 2 Sarres;57790;Hermelange
N°21 - l'herigoutte;48,16235340;6,75289310;50 Route d'Herpelmont Au carrefour avec la rue du centre;88640;Jussarupt
Parcours botanique et de santé;49,15717420;7,02973430;Forêt du Brandenbusch;57520;Grosbliederstroff
Parcours botanique et de santé;49,15717420;7,02973430;Forêt du Brandenbusch;57520;Grosbliederstroff
CENTRE DE TOURISME ÉQUESTRE ÉCURIE LA RIVIÈRE;47,45246290;-1,62870150;115 Glasnet;44810;Héric
LA VALLÉE DU TARN (COTATION VERTE);44,34384520;3,60491351;Salle des fêtes;48400;Bédouès-Cocurès
Les châtaigneraies des Maures - Circuit 18;43,13472800;6,23718200;Avenue du Général de Gaulle Parking place Victor Hugo;83250;La Londe-les-Maures
Découverte des Maures par Maraval;43,23277600;6,16419100;Départ / Arrivée : Parking des Rollands à Pierrefeu;83390;Pierrefeu-du-Var
Boucle de la Chartreuse de la Verne;43,23500500;6,40057800;Départ / Arrivée : parking de la Chartreuse de la Verne;83610;Collobrières
Sentier sous-marin : Le Jardin des Mattes;43,12052500;6,26687400;Eperon Rocheux Plage de l'Argentière;83250;La Londe-les-Maures
Via Julia Augusta;43,77626000;7,50131500;5 rue Saint-Charles Communauté de la Riviera Française;6500;Menton
Les enquêtes de Anne Mésia à Saint-Cyr-sur-Mer;43,18011000;5,68725000;Place de l'Appel du 18 Juin;83270;Saint-Cyr-sur-Mer
Eau et Village;48,29914700;2,69826700;21 route de Moret;77140;Montcourt-Fromonville
Les circuits des chapelles - Circuit de St Colomban des Villards;45,29412400;6,22691300;Chef-lieu;73130;Saint-Colomban-des-Villards
Jeux de piste Randoland St Colomban des Villards;45,29366500;6,22599900;Chef-lieu;73130;Saint-Colomban-des-Villards
Chemin des sculptures;45,28935800;6,22066600;Hameau du Châtelet;73130;Saint-Colomban-des-Villards
Usine du giffre;46,12052300;6,49477900;3711 Route du Giffre;74970;Marignier
Rando Cylo Route au Pays des Bastides;44,84677000;0,90594000;Parking gare du Buisson;24480;Le Buisson-de-Cadouin
Rando Cylo Route au Pays des Bastides;44,84677000;0,90594000;Parking gare du Buisson;24480;Le Buisson-de-Cadouin
Aubertin - De la Hélère à la Baïse;43,27495000;-0,48370450;Cimetière 419 Chemin de l'École Route des Pyrénées;64290;Aubertin
Itinéraire raquettes Sentiers des cerfs;45,89580700;6,79778000;Coupeau;74310;Les Houches
Itinéraire VTT - M : Chateau Saint Michel;45,93071800;6,76772300;Départ Maison de l'Alpage;74310;Servoz
Itinéraire VTT AE - N : Servoz par ses hameaux;45,93071800;6,76772300;Départ Maison de l'Alpage;74310;Servoz
Itinéraire VTT AE - M : Château Saint Michel;45,93071800;6,76772300;Départ Maison de l'Alpage;74310;Servoz
Itinéraire VTT - N : Servoz par ses hameaux;45,93071800;6,76772300;Départ Maison de l'Alpage;74310;Servoz
Route de la Dombes;46,00132000;5,02958300;Mairie 3 place de l'Hôtel de Ville;1330;Villars-les-Dombes
Chemin de Fenille;46,30013100;5,09778500;Le départ a lieu à Fenille;1310;Saint-Martin-le-Châtel
Histoires et Mémoires;46,45940500;5,08365700;Départ derrière l'Eglise;1560;Saint-Trivier-de-Courtes
CIRCUIT DU PÈLERINAGE;43,73175300;0,87222200;Office de Tourisme Bastides de Lomagne;32120;Mauvezin
RANDONNÉE DU TUMULUS;43,72770500;0,88494200;Office de Tourisme Bastides de Lomagne;32120;Mauvezin
Circuit du Martinet;47,63934150;2,73990840;Place de la Mairie;45250;Briare
Circuit de l'Ile aux Chèvres;47,63936300;2,73997778;Place de la Mairie;45250;Briare
Circuit de l'écluse de la Cognardière;47,63932700;2,74008508;Place de la Mairie;45250;Briare
Circuit des bords de Loire;47,63934150;2,73982257;Place de la Mairie;45250;Briare
EV3 La Scandibérique - étape A. Nargis / Montargis;48,14704850;2,76274130;D62 Parking de la prairie des étangs;45210;Nargis
Circuit du chemin Perré;47,58024800;2,90843800;Route Imperiale;45420;Thou
Circuit du château de la Chaise;47,58024800;2,90843800;Route Imperiale;45420;Thou
Circuit de Pont-Chevron;47,67054380;2,81032146;Place de la libération;45250;Ouzouer-sur-Trézée
Circuit du tour d'Ouzouer;47,67053120;2,81047972;Place de la libération;45250;Ouzouer-sur-Trézée
Circuit du canal et des étangs;47,67053120;2,81045826;Place de la libération;45250;Ouzouer-sur-Trézée
Circuit de l'étang des Bois;47,67056740;2,81038316;Place de la libération;45250;Ouzouer-sur-Trézée
Au pays de Ménestreau;47,69927170;2,02221344;Place du 8 mai;45240;Ménestreau-en-Villette
Le chemin des Vallées;47,81829940;1,80158977;Route de Cléry-Saint-André;45370;Mézières-lez-Cléry
Circuit des sources;47,54324810;2,81768972;Place de l'église;45630;Beaulieu-sur-Loire
Circuit vélo du sel;48,82000000;6,71833333;Place de l'hôtel de ville;57260;Dieuze
Circuit vélo de Lindre et du sel;48,81051768;6,71760523;Place de l'hôtel de ville;57260;Dieuze
Sentier découverte Méandres de la Seille;48,83975600;6,29027300;3 rue de Lunéville;54760;Arraye-et-Han
Sentier viticole de Taluyers;45,64108600;4,72485800;Parking du Prieuré;69440;Taluyers
Sentier viticole de Taluyers;45,64108600;4,72485800;Parking du Prieuré;69440;Taluyers
Via Rhôna, étape 15 : de Le Pouzin / Cruas à Chateauneuf du Rhône / Viviers;44,56164000;4,75150100;Montée Saint Martin Les allées provençales;26200;Montélimar
Le Grand Tour de la Valdaine;44,56164000;4,75150100;Montée Saint Martin Les allées provençales;26200;Montélimar
Du Jabron à Montceau;44,56164000;4,75150100;Montée Saint Martin Les allées provençales;26200;Montélimar
Des villages perchés au fil du Roubion;44,56164000;4,75150100;Montée Saint Martin Les allées provençales;26200;Montélimar
Au fil du Rhône et des villages perchés;44,56164000;4,75150100;Montée Saint Martin Les allées provençales;26200;Montélimar
De château en château;44,56164000;4,75150100;Montée Saint Martin Les allées provençales;26200;Montélimar
De Tartaiguille à la plaine de Marsanne;44,56164000;4,75150100;Montée Saint Martin Les allées provençales;26200;Montélimar
Promenade confort : Promenade des Prioux;45,34891800;6,70276500;Avenue de Chasseforêt B.P. 12;73710;Pralognan-la-Vanoise
Parcours d'Art Contemporain du Giffre;46,10727500;6,59210300;Office de tourisme;74440;Taninges
Itinéraire Sur les pas de Marc Chagall;43,70014500;7,11882400;Chemin Sainte-Claire;6570;Saint-Paul-de-Vence
Sentier pédestre des Vignes;45,91925300;5,84737700;Place Mairie - Auberge;73310;Motz
Laissez-vous conter Saint-Marcellin-en-Forez - parcours découverte;45,49745100;4,16686000;Centre village;42680;Saint-Marcellin-en-Forez
Chemin pédestre du patrimoine urbain;45,74631300;6,29445800;Faverges place Marcel-Piquand;74210;Faverges-Seythenex
Circuit des roches;48,63666979;7,09734313;Rue du Général Jordy;57560;Abreschviller
Circuit Saint-Léon;48,63661307;7,09730021;Rue du Général Jordy;57560;Abreschviller
Circuit de découverte du Lac - itinéraire pédestre;46,40140900;6,58450100;BP 18 Place d'Allinges;74501;Évian-les-Bains
Circuit historique de la ville - itinéraire pédestre;46,40132000;6,58677600;BP 18 Place d'Allinges;74501;Évian-les-Bains
N°28 - circuit du jeal;48,25743681;6,82488512;44 La censé de Saint-Dié Auberge de la Cholotte (Les Rouges Eaux);88600;Bruyères
Itinéraire cyclable Hoste - Sarreguemines;49,06736722;6,89253904;Rue du Bourg Foyer;57510;Hoste
Randoland aux étangs de Hoste;49,06728090;6,87814430;Rue du Bourg Foyer;57510;Hoste
Sur les murs des paiens en VTT;48,74516330;7,09881938;Mairie de Réding Rue du 21 Novembre;57445;Réding
Balade familiale à Bataville;48,68395590;6,80849606;Association la chaussure Bataville Site Hellocourt;57770;Moussey
Circuit vélo du Lindre;48,82000000;6,71833333;Place de l'Hôtel de Ville;57260;Dieuze
Sentier flore et milieux naturels;45,76327200;6,53321700;Parking du monument;73620;Hauteluce
Circuit des belles demeures;47,32654520;1,12463049;Saint-Georges-sur-Cher;41400;Saint-Georges-sur-Cher
la belle au bois normand;48,89922060;0,69715123;Mairie de Bois-Normand-près-Lyre;27330;Bois-Normand-près-Lyre
Circuit VTT n°19: Pas tant Plaux que ça;45,03628700;4,06072900;Place St Robert;43260;Saint-Julien-Chapteuil
Circuit VTT n°17: Une bouffée d'aventures autour des sucs capitoliens;45,03600000;4,06080000;Place St Robert;43260;Saint-Julien-Chapteuil
Circuit VTT n°18: Tourne petit moulin;45,03700000;4,06060000;Place St Robert;43260;Saint-Julien-Chapteuil
Circuit vélo Splendeurs et héritage religieux;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo De l'Histoire au patrimoine;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Bacchus à travers vignobles;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Balade à travers l'histoire;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Au fil de l'eau;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Vins et Choucroute;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Bacchus à vélo;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Du canal de la Bruche au vignoble;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Nature sucrée-salée;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit vélo Escapade à travers champs;48,54095643;7,49836369;rue des sports;67120;Molsheim
Circuit VTT 7 - Les Balcons d'Orbey;48,13367338;7,09333420;Blancrupt;68370;Orbey
Circuit VTT 5 - Les Mérelles;48,13378794;7,09333420;Blancrupt;68370;Orbey
Circuit VTT 11 - Tour Des Immerlins;48,13367338;7,09333420;Blancrupt;68370;Orbey
Circuit VTT 4 - Tête des Faux;48,13378794;7,09333420;Blancrupt;68370;Orbey
Randonnée du Nideck au Gensbourg;48,56946353;7,28561806;RD 218;67280;Oberhaslach
Randonnée Circuit des ruines;48,58654889;7,28863286;RD 218;67280;Oberhaslach
Le sentier du Monument du chêne;48,81616724;7,78020366;Rue du Moulin Neuf;67500;Haguenau
La balade du Sandhaas;48,81695844;7,78008693;Rue du Moulin Neuf;67500;Haguenau
Le sentier d'accès au GR®532;48,81608953;7,78021439;Rue du Moulin Neuf;67500;Haguenau
Circuit de ville Parcours de visite dans Dachstein;48,56128760;7,53276950;rue du Couvent;67120;Dachstein
Circuit vélo : l'Authentique;48,83118300;8,02581790;30 rue de l'Étang;67480;Rœschwoog
Circuit vélo : le Roi Soleil;48,83133131;8,02575353;30 rue de l'Étang;67480;Rœschwoog
Sentier du Langgrund;48,38786470;7,72820592;île du Rhin;67150;Gerstheim
N°61 Sur les traces de l'ours grand circuit;42,90878870;-0,56403620;Parking du Col du Rédo;64490;Etsaut
N°16 Tour des Fontaines;42,99896390;-0,60032590;Place de la mairie;64490;Bedous
N°10 Aspe - Le Tour de Soudious;42,99583890;-0,60360090;Place de la mairie;64490;Bedous
VTTAE N°11 - Tour du Vallon de Bedous;42,99889720;-0,60021860;Place de la mairie;64490;Bedous
VTT N°11 - Tour du Vallon;42,99889720;-0,60021860;Place de la mairie;64490;Bedous
VTT N°13 - Chemins du gave VTC;42,97446990;-0,59981200;Place de la mairie;64490;Bedous
VTTAE N°13 - Chemins du gave d'Aspe;42,99870000;-0,60016000;Place de la mairie;64490;Bedous
VTT N°31 - Tour Bergout Ichantes Jaupins;42,99916600;-0,60051090;Place de la mairie;64490;Bedous
Pau, de parcs en jardins - Côté ouest;43,29352590;-0,37080330;Place Royale Kiosque;64000;Pau
Pau, de parcs en jardins - Côté est;43,29353490;-0,37091210;Place Royale Kiosque;64000;Pau
N°45 Chemin de Mâture d'Issaux;42,99699300;-0,69485000;Pont de l'Arpet, croisement D441 et D341;64570;Lourdios-Ichère
Olivier Faivre - Randos Haut-Jura VTT;46,51887560;5,87385355;Le Moulin Chappez;39150;Grande-Rivière Château
Location de VTT - O.Faivre;46,51887560;5,87385355;Le Moulin Chappez;39150;Grande-Rivière Château
Rando ludique Azil & Magda;45,44743700;5,78392100;3796, Route de Chambéry - Route Départementale 1006 - 73360 St Christophe-la Gro;73360;Saint-Christophe
Sentier découverte des Vannades;43,83175700;5,83881300;Plan d'eau des Vannades;4100;Manosque
Sentiers thématiques du Bois de la Glière - Sentiers pédestres;45,38113200;6,73567500;les Fontanettes;73710;Pralognan-la-Vanoise
Jardin des panoramas - sentier pédestre;45,37253200;6,71528000;les Fontanettes;73710;Pralognan-la-Vanoise
Belvédère du bois de la Glière - Randonnée pédestre;45,38118300;6,73572300;les Fontanettes;73710;Pralognan-la-Vanoise
Circuit des fontaines;43,70684800;2,69062600;Place Général de Gaulle;81230;Lacaune
Circuit des fontaines;43,70684800;2,69062600;Place Général de Gaulle;81230;Lacaune
Les Monts de Lacaune : terre de mystères;43,70690600;2,69080300;Place Général de Gaulle;81230;Lacaune
Les Monts de Lacaune : terre de mystères;43,70690600;2,69080300;Place Général de Gaulle;81230;Lacaune
Provence Verticale;43,38368500;5,70754500;17 rue Bringier Monnier;83640;Saint-Zacharie
Provence Verticale;43,38368500;5,70754500;17 rue Bringier Monnier;83640;Saint-Zacharie
Circuit de cyclotourisme: boucle famille Guebwiller / Soultz/ Wuenheim / Issenheim;47,90921621;7,21103168;45 rue de la République;68500;Guebwiller
Circuit de la cigogne;48,26849770;7,52310276;Place des Fêtes;67600;Muttersholtz
Circuit de la chouette;48,26849770;7,52310276;Place des Fêtes;67600;Muttersholtz
Sentier - Les Chemins de la Transition;48,26849770;7,52310276;Place des Fêtes;67600;Muttersholtz
Circuit de VTT: Circuit du Judenhut;47,90494180;7,19682951;Parking de la Sandgrube;68500;Guebwiller
Circuit de VTT: Circuit de Murbach;47,90494180;7,19682951;Parking de la Sandgrube;68500;Guebwiller
Circuit de VTT: Circuit de la Glashutte;47,90494180;7,19682951;Parking de la Sandgrube;68500;Guebwiller
Circuit de VTT: Circuit du Haag;47,90494180;7,19682951;Parking de la Sandgrube;68500;Guebwiller
Randonnée vers le sentier botanique Dreispitz;48,53317668;7,42449900;Rue de la Gare;67190;Gresswiller
Randonnée Au fil des cascades - circuit rouge;48,55955890;7,30830954;rue du Nideck;67280;Oberhaslach
Randonnée Au fil des cascades - circuit noir;48,55046198;7,32407020;rue du Nideck;67280;Oberhaslach
Randonnée Au fil des cascades - circuit jaune;48,55034835;7,32413458;rue du Nideck;67280;Oberhaslach
Circuit de ville un village autour d'une collégiale;48,54289421;7,34128214;place de l'église;67280;Niederhaslach
Recherche des mots magiques - Niederhaslach;48,54289501;7,34129287;place de l'église;67280;Niederhaslach
Circuit pédestre : le sentier de découverte du Hellwasser;48,77547260;7,99036980;route de Drusenheim;67770;Dalhunden
Circuit VTT 3 - Etang du Vallon;48,17269688;7,11382628;61 rue du 3eme Spahis Algériens;68650;Le Bonhomme
Circuit VTT 2 - Les Bagenelles;48,17278600;7,11387025;61 rue du 3eme Spahis Algériens;68650;Le Bonhomme
Circuit VTT 1 - Le Grand Tour du Bonhomme;48,17268475;7,11389905;61 rue du 3eme Spahis Algériens;68650;Le Bonhomme
Le sentier Albert Schweitzer;48,04623310;7,17268810;8 rue de Munster;68140;Gunsbach
Circuit de randonnée ou de trail : tour du Bollenberg;47,93421086;7,23920578;Rue du Bollenberg;68500;Orschwihr
Randonnée Sentier des croix et oratoires - rouge;48,57387846;7,48530502;Chemin du moulin;67120;Soultz-les-Bains
Randonnée Sentier des croix et oratoires - jaune;48,57387846;7,48530502;Chemin du moulin;67120;Soultz-les-Bains
Randonnée Sentier des croix et oratoires - parcours total;48,57387846;7,48530502;Chemin du moulin;67120;Soultz-les-Bains
Sentier pédestre des Sculptures - Land Art Montagne;45,23138800;6,75248100;RD 83 - Plan de la Croix;73500;Aussois
AB Loisirs;47,46011630;3,77057890;13 rue du Gravier;89450;Saint-Père
AB Loisirs;47,46011630;3,77057890;13 rue du Gravier;89450;Saint-Père
Les P'tits Sentiers Ân'imés;47,87021900;6,50716799;620 Muse;70280;Saint-Bresson
Les P'tits Sentiers Ân'imés;47,87021900;6,50716799;620 Muse;70280;Saint-Bresson
Entre Balcons et Vals du Dauphiné;45,67693900;5,46981400;100 Place des Halles;38510;Morestel
7 parcours du patrimoine à Vincennes;48,84508900;2,43485300;28 avenue de Paris Office de tourisme de Vincennes;94300;Vincennes
Auvergne Loisirs Multiactivités;45,77916500;3,24929600;Machal -Dallet;63115;Mur-sur-Allier
Randonnée pédestre : Vers le Refuge de Loriaz;46,02218900;6,91693600;362 Route du Couteray - Parking du Couteray;74660;Vallorcine
Courte itinérance pédestre de 2 jours sur la Montagne de Loriaz avec nuit en refuge;46,02218900;6,91693600;362 Route du Couteray - Parking du Couteray;74660;Vallorcine
Courte itinérance pédestre de 2 jours sur la Montagne de Loriaz - Etape 1;46,02218900;6,91693600;362 Route du Couteray - Parking du Couteray;74660;Vallorcine
Circuit de Malbrouck en VTT (variante);49,45613148;6,43461918;Rue du château;57480;Manderen-Ritzing
Circuit de Malbrouck en VTT;49,45615938;6,43460845;Rue du château;57480;Manderen-Ritzing
Randonnée Marcillac autour de Saint-Jean le Froid;44,47350000;2,46502917;Parking du cimetière;12330;Marcillac-Vallon
Randonnée - Sentier de mémoire d'Evosges;45,96074600;5,49984600;Place du village;1230;Évosges
Balade - Tour du lac de Nantua;46,15531700;5,60444800;14 rue du docteur mercier;1130;Nantua
Tour du lac de Nantua à vélo;46,15531700;5,60444800;14 rue du docteur mercier;1130;Nantua
Location de VTT | Sport Xtreme Loue;47,10636920;6,14673969;6 rue Pierre Vernier;25290;Ornans
Sport Xtreme Loue;47,10636920;6,14673969;6 rue Pierre Vernier;25290;Ornans
VTT N°1 -  Piémont de Barétous;43,14231500;-0,73973100;Aventure Parc ®;64570;Aramits
École du Ski Francais;46,70703020;6,20961962;Lieu dit La Source du Doubs, Chalet des téléskis;25240;Mouthe
École de Ski Internationale;46,48401820;6,06064812;411 Rue Pasteur;39220;Les Rousses
La Boîte à Montagne;46,48385000;6,06071000;411 Rue Pasteur;39220;Les Rousses
Le sentier découverte du Mas de la Comtesse;43,57929900;4,17607000;Chemin de la Vieille Roubine;30220;Aigues-Mortes
CIRCUIT NOTRE DAME DE PARLATGES - ESPACE VTT-FFC LODEVOIS ET LARZAC;43,79297900;3,42505857;Route de Lodève - RD 9;34520;Saint-Pierre-de-la-Fage
CIRCUIT LE MAS DE BEDOS - ESPACE VTT-FFC LODÉVOIS ET LARZAC;43,79293930;3,42502638;Route de Lodève - RD 9;34520;Saint-Pierre-de-la-Fage
Le site de Lestrange;45,31334800;2,15735400;Valeix;19550;Lapleau
Le Puy de l'Aiguille - 10 km;45,74970350;2,12564126;Place de l'Eglise;23100;Féniers
Le circuit des croix - 13 km;45,74953100;2,12594002;Place de l'Eglise;23100;Féniers
Les côteaux du Lac du Causse;45,09585200;1,46622400;Le Moulin de Lissac;19600;Lissac-sur-Couze
La forêt de Brignac;45,18785790;1,33988099;Le Bourg;19310;Brignac-la-Plaine
La Dordogne de villages en barrages;45,22184500;2,00434399;La Bitarelle Espace des Associations;19320;Gros-Chastang
Au coeur du pays vert - 7 km;45,50402570;2,41751943;Eglise;19200;Saint-Bonnet-près-Bort
Le prieuré de Saint-Angel;45,50273860;2,23226225;Mairie;19200;Saint-Angel
De la gare à Manzagol;45,41472700;2,33348989;ancienne gare;19160;Liginiac
Une histoire au fil de l'eau - 13 km;45,54356900;2,49595635;Eglise;19200;Confolent-Port-Dieu
