FID;osm_id;amenity;name;short_name;official_name;alt_name;old_name;operator;operator-type;emergency;contact-email;addr-housename;addr-housenumber;addr-street;addr-city;addr-postcode;osm_version;osm_timestamp;healthcare-speciality;the_geom;osm_original_geom
hospitals_point.155221786;155221786;hospital;Pôle de Santé du Plateau;;;Clinique de Meudon;;;;yes;;;3;Avenue de Villacoublay;Meudon;92360;16;2023-11-03T19:22:50Z;;POINT (248555.54508210282 6238350.10707269);"SRID=3857;POLYGON((248488.2579046716 6238302.896822246,248489.7495858482 6238299.230654704,248493.08917057203 6238300.565342244,248493.13369836836 6238300.751184829,248506.62562065248 6238306.039252833,248508.17296157448 6238302.068977823,248508.6738992831 6238301.579029124,248509.09691334813 6238301.342502171,248509.60898300575 6238301.207343918,248510.1767124088 6238301.274923046,248537.19395282434 6238311.867957805,248535.21246588824 6238316.902610547,248631.97136728573 6238354.916024707,248624.29032242097 6238375.173020347,248619.18075779357 6238373.179418963,248617.22153475558 6238378.163423304,248598.9874021637 6238370.983078997,248587.94450867697 6238366.641085507,248584.1707779391 6238376.186716147,248577.26896950993 6238393.622302861,248554.10338347586 6238384.482131322,248498.96683968595 6238362.738361743,248505.7461966752 6238345.522471843,248524.8152254481 6238352.837953662,248528.6223520332 6238343.106505791,248509.40860792235 6238335.537609614,248498.35458248656 6238331.178739434,248497.87590867613 6238330.925316816,248497.54195020374 6238330.536735489,248497.430630713 6238330.181943858,248497.40836681484 6238329.624414176,248497.4862904584 6238329.387886444,248498.85552019515 6238325.873760924,248505.16733532315 6238309.756107715,248488.2579046716 6238302.896822246))"
hospitals_point.194962436;194962436;hospital;Hôpital Arthur Gardiner;;;;;;;no;;;1;Rue Henri Dunant;Dinard;35800;7;2024-11-12T10:37:29Z;;POINT (-230013.7798618782 6212666.301030734);"SRID=3857;POLYGON((-230160.27185004557 6212710.669978322,-230151.3217629858 6212564.954416065,-230061.74296874445 6212566.150314458,-230036.9521181448 6212563.52270695,-229988.29436871907 6212558.385399751,-229884.3887560126 6212560.187667824,-229896.17749008763 6212604.907619517,-229907.36509891236 6212647.337049232,-229916.03688724514 6212680.216213087,-229908.86791203805 6212699.317179187,-229890.19963343203 6212768.20902733,-229865.54236622129 6212779.999864156,-229879.6020179085 6212817.528522255,-229910.1369542331 6212806.125048023,-229960.93203788207 6212786.5185195375,-229988.28323677002 6212775.94044563,-230011.12599628078 6212767.11416474,-230160.27185004557 6212710.669978322))"
hospitals_point.758898029;758898029;hospital;Clinique FSEF Bouffémont;;;;;;;;;;5;Rue Pasteur;Bouffémont;95570;5;2024-12-30T17:00:25Z;;POINT (255645.1857560245 6282914.133118013);"SRID=3857;POLYGON((255309.59347396006 6282720.204832009,255447.76322593275 6282644.118201792,255555.1420067519 6282536.986671178,255654.09390211804 6282438.263145865,255709.98741844535 6282536.40923795,255729.9358711955 6282610.524814009,255732.59640702547 6282617.844696523,255745.57625965198 6282642.589682764,255766.86054629166 6282680.73480702,255780.7420867936 6282703.66272507,255798.74244845484 6282733.231339437,255812.46814166964 6282755.564968028,255835.51127626383 6282788.853223684,255845.47437068986 6282801.794917683,255922.03991645746 6282891.877809638,255911.90984279528 6282918.135183365,255931.43528148046 6282965.520947995,255939.4057570212 6282977.121159561,255952.55258888393 6282993.052369206,255994.36418962586 6283026.375529623,255987.46238119664 6283048.692949107,256007.72252852106 6283147.525517994,255987.1172907752 6283168.994027508,255841.6449802066 6283204.712720849,255823.62235464712 6283332.829086709,255764.4671772396 6283323.504364507,255728.84494018572 6283307.266803614,255668.26487329602 6283267.861973935,255526.76666854872 6283125.921186932,255498.13529551667 6283092.15603807,255457.5259452753 6283129.810641824,255421.30258297117 6283083.205239052,255337.4901383529 6283008.779797545,255322.40634735045 6282867.437804861,255309.59347396006 6282720.204832009))"
hospitals_point.788830763;788830763;hospital;Clinique La Ligne Bleue;;;;;;;;;;9;Avenue du Rose Poirier;Épinal;88000;3;2022-06-03T10:18:35Z;;POINT (719463.2963622988 6140116.651040244);"SRID=3857;POLYGON((719327.0574632959 6140221.833584249,719380.5576105712 6139953.447213798,719467.8654872003 6139971.099997675,719492.4893585638 6139974.490271596,719565.6485279131 6139989.721469525,719576.3908587747 6140054.504466273,719591.9199277404 6140064.35807153,719629.8353463046 6140056.892711927,719638.6518499753 6140081.22613399,719638.7965653135 6140088.5412050765,719499.0572085206 6140260.530683197,719495.183290241 6140248.28855226,719470.9935648916 6140238.434735171,719449.4977712194 6140279.336500997,719425.9091711203 6140291.278049747,719404.3465857537 6140290.609990635,719327.0574632959 6140221.833584249))"
hospitals_point.67055286;67055286;hospital;CATTP Adolescents;;;;;Etablissement Public de Santé Mentale de la Vallée de l'ARVE;public;;;;6;Route de Vongy;Thonon-les-Bains;74200;3;2025-04-24T18:26:11Z;child_psychiatry;POINT (724124.338038435 5841829.347915105);"SRID=3857;POLYGON((724111.4912539473 5841828.766234875,724122.6565988738 5841821.940315788,724123.7475298836 5841823.844472352,724129.3357683214 5841820.439582513,724130.3599076367 5841822.13395881,724133.6994923605 5841820.1007072935,724138.7200013953 5841828.362811614,724135.0575901482 5841830.6058451785,724133.7217562587 5841828.378948542,724128.4674762932 5841831.574061284,724129.8589699281 5841833.800958725,724118.7047569507 5841840.626887003,724111.4912539473 5841828.766234875))"
hospitals_point.660630149;660630149;hospital;Hôpital Le Corbusier;;;;;;;;;;2;Rue Robert Plotton;Firminy;42704;4;2025-01-17T15:04:55Z;;POINT (477575.83081623923 5682770.339302884);"SRID=3857;POLYGON((477400.67165877175 5682834.4884731015,477402.90918053675 5682828.512763535,477407.985349317 5682823.884365227,477411.71455225855 5682816.260193781,477412.76095547207 5682809.618769057,477412.23775386525 5682803.880835668,477410.67928099417 5682798.729379262,477408.7311899053 5682795.210539978,477409.7775931188 5682792.151370008,477467.35203375696 5682695.700873194,477486.4433264281 5682664.792552395,477495.0260591682 5682664.443843741,477506.9261127341 5682660.401994446,477507.62742552604 5682659.736278269,477509.9651348327 5682657.834232315,477517.34561707225 5682652.159797616,477522.98951525544 5682655.615179209,477522.4329178015 5682656.090690544,477532.11771350045 5682664.491394922,477536.5704931323 5682668.29549006,477546.1439693405 5682664.015883143,477552.87879853346 5682671.909381939,477555.70631359966 5682674.286943181,477563.55433770065 5682673.1298632985,477559.4800443375 5682666.932355783,477551.64315218566 5682654.616605494,477583.25788757094 5682634.3598484,477580.94244216237 5682620.395709966,477569.88841672667 5682602.484871869,477606.84648767003 5682579.486140238,477633.7190127476 5682562.84340089,477640.65421702404 5682559.419755485,477646.40943469806 5682558.738196605,477653.04407634924 5682559.926962131,477656.9291265779 5682562.0984408995,477661.1147394317 5682565.458686454,477688.13197984727 5682604.196702636,477703.72784050746 5682627.496653919,477715.8950608512 5682633.979440253,477698.28431740764 5682668.089434866,477700.7444781541 5682674.286943181,477768.98332601046 5682711.059970723,477746.0626428561 5682754.458677567,477710.97473935806 5682819.858294675,477705.9987581196 5682831.873109007,477687.4084031572 5682824.740301719,477673.94987672026 5682819.0974626485,477665.5897829617 5682834.4884731015,477642.60230811295 5682842.397972792,477664.9886577114 5682892.708260558,477685.4491801192 5682913.90080093,477679.1707608384 5682926.438819625,477671.55650766817 5682929.735798378,477659.9124889312 5682928.08730885,477650.5059919592 5682918.973069339,477640.3536543988 5682902.266296122,477618.4125827635 5682849.863659271,477595.4251079148 5682859.564305771,477585.9406872991 5682863.891558333,477599.0207274673 5682891.78891439,477597.7962130685 5682892.42294622,477589.00197329593 5682896.702662237,477588.7793343143 5682896.227138137,477570.5229378242 5682905.420608603,477543.8396558811 5682930.258876851,477536.2365346598 5682942.5116024995,477534.67806178884 5682944.889235549,477529.22340673994 5682953.290210716,477517.06731834525 5682972.34301755,477516.5329847895 5682972.152806301,477504.5104797838 5682987.21120943,477493.71248917695 5682983.248469311,477488.1465146371 5682981.187845143,477477.2594684376 5682977.494573777,477474.34289777884 5682971.835787559,477472.67310541694 5682968.824110076,477467.8863673128 5682960.423120344,477455.86386230716 5682938.548882148,477442.50552341196 5682914.455580149,477421.91141761525 5682876.889179325,477401.79598562885 5682840.38493313,477400.67165877175 5682834.4884731015))"
hospitals_point.294978320;294978320;hospital;Hôpital Léopold Bellan;;;;;Fondation Léopold Bellan;;no;;;185 C;Rue Raymond Losserand;Paris;75014;18;2022-03-06T22:57:49Z;;POINT (257264.70369204244 6245936.621247867);"SRID=3857;POLYGON((257224.28871560446 6245939.027284022,257267.6476572684 6245896.042141313,257305.2291173602 6245934.038831809,257271.13195733022 6245967.960364787,257261.84791179805 6245977.19326816,257260.93509197357 6245976.297033514,257225.27945907245 6245940.346265102,257225.40191051233 6245940.2278949935,257224.28871560446 6245939.027284022))"
hospitals_point.12621384669;12621384669;hospital;USLD Bellevaux;;;;;;;;;;29;Quai de Strasbourg;Besançon;25000;1;2025-02-26T21:34:13Z;;POINT (670400.2376963596 5981735.623891193);
hospitals_point.102079282;102079282;hospital;Clinique Jean Paoli;;;;;Elsan;private;;;;19;Rue Pierre Renaudel;Arles;13200;5;2022-09-24T09:50:33Z;;POINT (515994.3585367695 5414792.875486209);"SRID=3857;POLYGON((515964.05871497036 5414796.977908083,515981.7362501083 5414782.911131973,515981.2019165525 5414781.941540975,515986.22242558724 5414778.032397341,515986.86807863385 5414778.848084656,516004.93523198954 5414764.704384638,516015.06530565175 5414777.755371479,516010.24517170043 5414781.7414666535,516011.82590846973 5414783.988455427,516007.9742540882 5414787.205036195,516014.6088957395 5414795.854412049,516011.2136512703 5414798.747799374,516015.97812547634 5414804.796213037,515998.53436126903 5414819.016926419,515984.79753610515 5414801.241038115,515974.2110525306 5414809.813475218,515964.05871497036 5414796.977908083))"
hospitals_point.8345770332;8345770332;hospital;Centre Rééducation et Réadaptation Fonctionnelle;;;;;;;;;;;Route de Saint-Nicolas;Saint Gobain;02410;3;2022-01-25T16:38:10Z;;POINT (380240.7751915229 6377418.355135773);
hospitals_point.670633220;670633220;hospital;Centre Hospitalier Intercommunal Lucie et Raymond Aubrac;;;;;;;;;;40;Allée de la Source;Villeneuve-Saint-Georges;94190;3;2023-02-16T16:56:32Z;;POINT (273022.12745983736 6227868.34093136);
hospitals_point.1292914048;1292914048;hospital;Clinique Le Clos Montaigne;;;;;;;no;;;282;Rue Montaigne;Montrond-les-Bains;42210;1;2024-06-16T19:19:33Z;psychiatry;POINT (471464.03714194347 5723901.342578714);"SRID=3857;POLYGON((471354.15314125177 5723971.0106536,471403.7125785529 5723820.51608798,471587.6457731906 5723838.430078891,471507.02819795813 5723984.736979884,471354.15314125177 5723971.0106536))"
hospitals_point.8813964559;8813964559;hospital;APS contact;;;;;;;;;;;Rue de la Venière;Provins;77160;1;2021-06-08T08:09:13Z;Addictology;POINT (366775.7254324557 6200315.387634747);
hospitals_point.645765827;645765827;hospital;Centre hospitalier de Fumay;;;;;;public;;;;30;Place du Baty;Fumay;08170;2;2020-04-06T06:08:31Z;;POINT (524340.9095333607 6444495.396525382);"SRID=3857;POLYGON((524243.6573497526 6444557.390920657,524274.11436243355 6444392.26260097,524419.9651592709 6444382.116414855,524430.2733441184 6444389.440367072,524428.0358223533 6444410.927460278,524426.0877312645 6444422.12985882,524405.5604171623 6444540.820803061,524400.1168940625 6444560.074694117,524379.144301997 6444633.3680158155,524376.6952731996 6444641.505986436,524374.658126518 6444648.085628073,524372.4985283967 6444653.9726802595,524339.9821051359 6444637.142648012,524319.1208325614 6444630.840052094,524331.7333308682 6444578.133914767,524266.5001092633 6444566.636956726,524267.2459498517 6444563.797349053,524243.6573497526 6444557.390920657))"
hospitals_point.45046251;45046251;hospital;Centre hospitalier intercommunal Robert Ballanger;;;CHI Robert Ballanger;;;public;yes;;;;Boulevard Robert Ballanger;Aulnay Sous-Bois;93602;16;2023-11-05T18:16:18Z;intensive;POINT (281047.73755902395 6267105.73223156);"SRID=3857;POLYGON((280377.55168205383 6267350.426084774,280382.81709396833 6267349.188527603,280502.0959283534 6267178.102230083,280623.14474264195 6266989.677361122,280630.20239835826 6266978.692397053,280934.66120567784 6266569.427893695,280956.78038849845 6266555.832983115,280988.1279571058 6266547.153949383,281278.3712654512 6266652.116611036,281381.10802350426 6266704.310254116,281385.0932612747 6266717.888451803,281405.14190156653 6266786.23746334,281443.5359939411 6266917.173471567,281497.87103739736 6267102.409684212,281504.60586659034 6267129.906427672,281534.2947747849 6267251.184746431,281577.88748737954 6267425.476636909,281481.1508498802 6267504.291453035,281350.50629548525 6267522.092276797,281224.7375347869 6267539.740559056,280963.8825720111 6267492.661601746,280795.01090447773 6267451.804670806,280377.55168205383 6267350.426084774))"
hospitals_point.335677414;335677414;hospital;;;;;;;;;;;;;gargenville;78440;2;2025-03-24T10:24:28Z;general;POINT (202409.85293515355 6273018.748221781);"SRID=3857;POLYGON((202369.80625146802 6273008.955973434,202370.21813358396 6273004.256894336,202375.10505922977 6273004.375643596,202375.46128160032 6272999.964957948,202372.889801363 6272999.812280409,202372.85640551575 6272993.77303775,202370.50756425998 6272993.671252797,202371.15321730662 6272981.2195696235,202388.31868278692 6272981.8302784525,202388.1628354998 6272984.425791464,202387.79548118022 6272990.125744413,202386.68228627226 6272989.9900312,202386.5709667815 6272994.417675804,202388.68603710658 6272998.607824367,202388.64150931026 6273002.933688418,202396.07765129523 6273008.413119395,202394.40785893332 6273010.838998643,202409.95919179718 6273022.323765079,202411.7736994971 6273020.084488864,202419.66625139432 6273020.033596228,202445.88199147614 6273020.220202559,202445.8374636798 6273023.104119053,202449.1993123018 6273023.256797012,202449.26610399625 6273022.205015568,202458.38317029222 6273022.4594788095,202458.17166325974 6273039.915675391,202431.27687428409 6273039.712104377,202431.3102701313 6273037.218359861,202424.31940610945 6273037.269252601,202418.60871623177 6273037.133538634,202418.17457021767 6273039.678175879,202411.23936594126 6273039.508533369,202397.24650594854 6273029.431774578,202395.94406790627 6273030.78891311,202387.7064255876 6273024.461256568,202388.90867608815 6273022.934476879,202369.80625146802 6273008.955973434))"
hospitals_point.26257435;26257435;hospital;Centre hospitalier de Fontainebleau;;;;;Centre hospitalier du sud Seine-et-Marne;private;yes;;;98;Avenue de Verdun;Fontainebleau;65300;15;2024-08-30T09:39:20Z;"intensive;cardiology;maternity;physiatry";POINT (300280.2693770114 6175530.086483651);"SRID=3857;POLYGON((299972.57618088886 6175541.480390132,300185.47470703104 6175232.30422255,300377.76799542736 6175369.936208158,300382.5658654806 6175373.323790827,300404.9076872827 6175389.071036841,300473.66973674577 6175438.006753699,300447.85474683077 6175490.649018972,300433.41660887486 6175520.097971745,300425.8246196028 6175535.593930783,300555.1889998536 6175650.238069597,300520.8358049948 6175702.529456903,300570.1392074672 6175735.517806208,300521.13636761997 6175812.412852504,300494.6311968621 6175798.744434825,300485.38054717716 6175816.80687609,300341.6893484612 6175704.089147208,300323.7891743417 6175739.978873918,300228.0878081067 6175685.892778053,300127.7555510547 6175629.190792857,300098.9460668374 6175612.906441477,299972.57618088886 6175541.480390132))"
hospitals_point.2023786648;2023786648;hospital;Maison de Santé Pluridisciplinaire de la Charme;;;;;;;yes;;;4 B;Rue Louis Courroy;Rupt-sur-Moselle;88360;11;2022-10-26T14:18:20Z;"vaccination;covid19;infirmières;médecins;orthophoniste;kinésithérapeute;psycpsychologue";POINT (741485.625119762 6094611.946631391);
hospitals_point.477966280;477966280;hospital;Le Clos d'Alban;;;;;Arc-en-Ciel;;no;;;;La Marquetterie;Cigogné;37310;5;2022-12-04T20:35:53Z;;POINT (101557.9650947287 5984734.253694767);"SRID=3857;POLYGON((101380.20760635627 5984666.246004812,101409.97443819439 5984664.097260967,101552.84187267849 5984653.780017374,101639.74899914078 5984638.29597368,101716.40360050103 5984637.656273316,101725.78783357491 5984638.755245766,101772.57541555531 5984674.611348525,101773.62181876876 5984679.810987795,101769.98167141984 5984682.419009926,101760.61970224412 5984685.010630177,101754.38581075969 5984688.652021963,101699.79473247466 5984759.364216544,101699.28266281703 5984765.072393763,101701.35320534579 5984784.83780651,101704.48128303708 5984809.786578448,101705.07127633828 5984813.116367367,101393.4768896588 5984837.6059379205,101386.02961572475 5984795.745709154,101385.58433776157 5984778.99839358,101380.20760635627 5984666.246004812))"
hospitals_point.407013175;407013175;hospital;Colisée Clinique Avicenne;;;;;Colisée Patrimoine;;no;;;7;Rue de Schwandorf;Libourne;33500;4;2023-11-10T05:03:49Z;;POINT (-27411.60137286967 5613094.465236615);"SRID=3857;POLYGON((-27491.550501899474 5613171.054209932,-27476.477842846067 5613062.3559430335,-27473.728251423472 5612969.497108654,-27407.20372372541 5612954.524025588,-27373.0175081028 5613025.913769682,-27390.539195953657 5613034.43842545,-27303.24245127357 5613173.570753097,-27318.470957614096 5613181.073201574,-27314.3744003529 5613194.049149191,-27325.762384261056 5613197.666689428,-27322.84581360227 5613204.068166352,-27344.241419732738 5613210.611203971,-27356.26392473841 5613203.847968054,-27399.923429027527 5613188.213902561,-27447.256476512834 5613176.103025365,-27491.550501899474 5613171.054209932))"
hospitals_point.232518971;232518971;hospital;Hôpital Raymond Poincaré;;;Hôpital de Garches;;Assistance publique - Hôpitaux de Paris;public;no;;;104;Boulevard Raymond Poincaré;Garches;92420;19;2025-04-18T11:33:47Z;intensive;POINT (241498.7744905547 6247668.29570537);"SRID=3857;POLYGON((241258.02358180127 6247600.58201186,241258.62470705155 6247591.990045046,241259.97167289015 6247584.1084453575,241273.43019932703 6247529.326456132,241276.34676998586 6247529.816938562,241282.51386977578 6247501.842572133,241306.18039351839 6247452.862283589,241313.49408406354 6247427.340553476,241324.98225551343 6247403.6285841875,241329.72446582123 6247404.880141535,241369.04250996938 6247414.926432885,241373.75132442993 6247416.127253021,241379.75144498373 6247417.328073327,241393.24336726786 6247420.795231496,241413.5257784904 6247425.953688962,241429.65597270633 6247430.097370184,241481.72009855037 6247443.509380859,241497.5163342939 6247447.568505549,241589.02095572598 6247473.597688858,241592.50525578778 6247477.318566296,241593.8967494227 6247483.238147414,241591.24734554187 6247494.23166617,241588.25285123946 6247506.662816108,241615.84895300717 6247513.461901749,241627.83806216563 6247516.607749192,241628.23881233245 6247514.950259534,241628.81767368456 6247513.242030735,241629.74162545818 6247511.702933798,241630.96613985687 6247510.38370807,241632.46895298257 6247509.36891919,241634.1276133954 6247508.709306487,241635.91985719715 6247508.421783016,241637.71210099894 6247508.523261888,241639.32623361546 6247509.03065626,241640.7845189448 6247509.893226764,241642.03129724175 6247511.026407758,241643.02204070982 6247512.430199348,241643.6676937564 6247513.986209574,241643.9793883306 6247515.660612204,241643.9348605343 6247517.368841491,241643.5118464693 6247519.009418454,241643.09996435334 6247520.345558689,241647.40802864707 6247521.1912171785,241654.7217191922 6247522.9840134485,241683.85402993273 6247530.273594645,241686.6370172026 6247518.214499678,241747.20595214327 6247511.736760102,241753.61795481291 6247520.785301092,241753.2172046461 6247541.622351872,241753.13928100248 6247546.6963168,241753.10588515527 6247550.112788231,241752.56041965037 6247583.888572513,241751.18005796455 6247721.445523573,241748.79782086157 6247816.415753524,241735.6843848461 6247830.115910187,241721.94755968222 6247859.376812804,241606.07510171548 6247877.93132191,241460.9924093646 6247891.3271276755,241367.52856489457 6247895.809314891,241345.30919453225 6247877.542302617,241313.77238279054 6247851.630274993,241274.50999838772 6247802.969325018,241272.84020602587 6247766.182035326,241267.530266315 6247766.418826563,241267.5191343659 6247752.329759365,241266.2389602218 6247652.912013633,241264.11275794767 6247638.028205186,241259.04772111654 6247609.816694568,241258.02358180127 6247600.58201186))"
hospitals_point.1353969742;1353969742;hospital;ITEP Suzanne Léger;;;;;;;no;;;;Le Prat;Oradour-Saint-Genest;87210;1;2025-01-24T15:21:28Z;behavior;POINT (109725.4689919036 5819374.20833508);"SRID=3857;POLYGON((109606.4953369976 5819334.460824508,109632.25466716714 5819213.54978091,109676.41510916487 5819149.4251069315,109722.72401733485 5819188.150946218,109910.85395677548 5819345.502570466,109837.26064141205 5819452.202602413,109672.7304340196 5819602.540934399,109609.12247698032 5819525.278945166,109619.64216886029 5819488.48316043,109606.4953369976 5819334.460824508))"
hospitals_point.80359988;80359988;hospital;Maison médicale;;;;;;;no;;;;;Moirans;38430;4;2020-08-24T08:58:16Z;"general;osteopathy";POINT (619189.3872338356 5672574.213417245);"SRID=3857;POLYGON((619174.2585624262 5672595.0217947,619180.3588705217 5672584.651448228,619176.1732576679 5672582.181565951,619196.1217104181 5672548.331581225,619206.7527217888 5672554.585427531,619186.8154009877 5672588.435435857,619191.1234652814 5672590.9844828155,619185.023157186 5672601.354836606,619174.2585624262 5672595.0217947))"
hospitals_point.533894683;533894683;hospital;;;;;;;;;;;;;Saran;45770;12;2024-10-19T16:01:16Z;;POINT (209514.88717313448 6096673.438356227);"SRID=3857;POLYGON((209346.26553117693 6096652.149762754,209495.91232265034 6096551.220632813,209532.08002520906 6096559.611962435,209553.75393006654 6096564.945861364,209618.7645126898 6096580.78141259,209631.6330458255 6096592.246835159,209665.5743585684 6096605.157916282,209676.66177985136 6096614.363512353,209682.2945460855 6096622.156705185,209684.53206785046 6096634.253615531,209681.54870549723 6096645.735726132,209673.93445232694 6096660.225473709,209647.50720521266 6096696.200698084,209615.569643304 6096724.798201004,209569.56129775915 6096758.015292237,209466.78001190975 6096830.083029832,209346.26553117693 6096652.149762754))"
hospitals_point.1311584446;1311584446;hospital;Clinique de SMR Les Flots;;;;;Inicea (Clariane);private;no;;;257;Route de Toulouse;Talence;33400;1;2024-08-27T17:59:25Z;"general;geriatrics;endocrinology";POINT (-63968.30213104793 5591069.211355225);"SRID=3857;POLYGON((-64026.76322753897 5591040.191687774,-64016.00976472833 5591008.529458277,-63976.001539737226 5591020.485153329,-63953.615190138706 5591046.750082164,-63950.33126516031 5591080.201105468,-63907.02798324172 5591088.548190595,-63916.87975817694 5591124.086148578,-63994.21340843102 5591102.590766587,-63984.36163349583 5591070.049679606,-63994.21340843102 5591052.131734696,-64026.76322753897 5591040.191687774))"
hospitals_point.169277501;169277501;hospital;Centre Joseph Daquin;;;;;Etablissement Public de Santé Mentale de la Valée de l'Arve;public;;;;1;Impasse Henri Becquerel;Vétraz-Monthoux;74100;8;2025-04-22T11:17:07Z;psychiatry;POINT (695530.7596908464 5809369.924489249);"SRID=3857;POLYGON((695487.5988916985 5809371.435137216,695533.4847858036 5809359.97175223,695571.444732164 5809350.485932978,695575.5190255272 5809366.772608569,695558.6763865701 5809370.984961926,695559.4333591075 5809374.055800944,695554.3905861746 5809375.309861164,695553.6336136372 5809372.287254782,695544.8393738645 5809374.489898694,695545.5963464018 5809377.512505828,695536.8577663746 5809379.699073336,695535.0209947765 5809372.335487856,695527.5737208424 5809374.200500193,695528.6757838012 5809378.589711811,695508.1818655463 5809383.718500313,695509.1948729125 5809387.770084555,695495.1240892763 5809391.275027976,695494.0888180118 5809387.143053539,695491.6731850617 5809387.737929116,695487.5988916985 5809371.435137216))"
hospitals_point.-1250218;-1250218;hospital;Hôpital Salengro;;;;;;;;;;;;Lille;59037;11;2023-04-07T21:44:37Z;;POINT (337597.18186903815 6552152.863618119);"SRID=3857;POLYGON((337470.39080731606 6552270.308054688,337481.7787912241 6552270.150184708,337481.14427012665 6552226.157202011,337512.18014415976 6552225.209987259,337512.24693585426 6552217.246371236,337512.2024080579 6552212.071779043,337509.34149714455 6552212.019156088,337509.17451790837 6552202.406701966,337485.38554272585 6552202.7048983695,337482.03482605296 6552202.739980299,337481.8455829187 6552170.727780968,337476.34640007344 6552170.8505672505,337476.3909278697 6552163.290443939,337481.72313147876 6552163.325525704,337481.5450202935 6552135.575897994,337503.7421267577 6552135.435571414,337503.6085433687 6552111.211731627,337503.20779320184 6552036.435765186,337513.9946518597 6552036.505927633,337513.84993652167 6551981.305806723,337557.37585742184 6551980.954996842,337557.5205727599 6552014.457407985,337570.06627937226 6552014.457407985,337570.30005030293 6552069.587587891,337580.552575405 6552069.4998844825,337582.84575691534 6552056.870603119,337582.45613869757 6551997.7412664695,337601.4917716232 6552018.211089743,337587.38759213977 6552018.211089743,337587.5545713759 6552032.962724797,337610.41959478485 6552054.3096678695,337610.1524280069 6552032.524209699,337648.24595775636 6552032.471587891,337648.00105487666 6552022.999667556,337653.70061280526 6552016.22900524,337653.71174475434 6552030.086066192,337671.5005993831 6552030.261472174,337671.478335485 6552107.352762994,337667.98290347407 6552107.352762994,337667.98290347407 6552114.00071463,337662.7397554577 6552114.00071463,337662.61730401777 6552117.245758929,337656.8732182929 6552117.263299713,337657.1181211726 6552114.369070949,337645.22919955594 6552114.246285508,337645.30712319945 6552140.382084736,337661.77127588773 6552140.171594748,337689.18926647014 6552113.053512749,337680.6733254245 6552104.528700723,337693.9760045743 6552091.425766079,337700.9112088507 6552098.231571569,337730.7337004342 6552068.114170722,337732.3367011016 6552069.885779493,337768.036861799 6552034.050242339,337768.20384103525 6552061.238227403,337751.66176470334 6552078.182526626,337758.8530038086 6552085.5145426635,337768.5044036604 6552075.183067395,337769.45061933214 6552155.151479024,337765.58783300157 6552155.09885643,337748.6116106556 6552154.88836607,337748.5559509102 6552163.430770991,337755.4911551866 6552163.5710980445,337755.4577593394 6552168.307137521,337755.4132315431 6552173.043179714,337748.5002911648 6552172.797607089,337748.4780272667 6552176.3759517735,337696.48069311713 6552176.060215416,337674.9515035977 6552197.442610523,337674.996031394 6552209.2301399615,337675.0516911394 6552224.017198468,337634.7874313195 6552265.396545695,337633.0842431104 6552263.5021072915,337624.757545199 6552271.869213516,337617.6553616864 6552264.905394954,337616.7870696582 6552265.361463496,337609.4399832659 6552272.921680309,337601.6253550122 6552265.291299103,337589.2688915341 6552265.256216907,337598.18558274664 6552256.362884997,337597.8516242743 6552214.071451572,337591.7513161788 6552214.159156519,337591.6177327899 6552203.108340578,337569.68779310357 6552203.143422511,337571.5134327526 6552335.543696025,337527.085823977 6552335.561237273,337527.07469202793 6552314.10831951,337470.86948112637 6552314.915214838,337470.39080731606 6552270.308054688),(337503.24118904903 6552267.2208201215,337503.3747724381 6552289.024438965,337524.3918922998 6552288.901650928,337524.2583089108 6552267.080491304,337503.24118904903 6552267.2208201215),(337588.01098128816 6552056.993387709,337588.06664103357 6552069.289396296,337610.49751842837 6552069.4472624315,337610.41959478485 6552059.291213882,337593.2652612536 6552043.206444079,337593.51016413333 6552056.905684434,337588.01098128816 6552056.993387709))"
hospitals_point.11890761544;11890761544;hospital;Hopital de Beaumont-sur-Oise;;;;;;;;;;25;Rue Edmond Turcq;Beaumont-sur-Oise;;1;2024-05-09T07:13:35Z;;POINT (255025.65084879368 6299465.8840381075);
hospitals_point.183018248;183018248;hospital;Centre Sport Santé;;;;;;;yes;;;1;Rue Paul Verlaine;Talence;33400;4;2021-12-05T15:48:49Z;service_de_soins_à_domicile;POINT (-65831.50212899763 5589090.734291677);"SRID=3857;POLYGON((-65847.3712355648 5589094.190218255,-65846.25804065687 5589082.739036497,-65838.35435681054 5589083.680228972,-65838.24303731976 5589083.052767309,-65832.4544237985 5589083.8370943945,-65833.01102125247 5589086.660672454,-65833.23366023405 5589087.758730827,-65824.66205944297 5589089.170520359,-65824.4394204614 5589087.915596319,-65823.99414249822 5589084.621421544,-65815.31122221635 5589086.033210586,-65817.31497305061 5589098.739321877,-65847.3712355648 5589094.190218255))"
